"","model","condition","params","LL"
"1","PCFG","construct",0.0337975184675945,-3995.43291855163
"2","PCFG","decon",0.0324044458264079,-4916.41440118975
"3","PCFG","combine",0.0332017147100763,-8201.67365607664
"4","PCFG","flip",0.0358443218317337,-4133.562036652
