"","run","iter","condition","cfit"
"119","ALLFRAMES",64,"decon",-4512.37276602979
"120","ALLFRAMES",64,"flip",-4386.91804269476
"121","ALLFRAMES",128,"construct",-3951.84609679624
"122","ALLFRAMES",128,"combine",-8495.33290199756
"123","ALLFRAMES",128,"decon",-4529.50439138199
"124","ALLFRAMES",128,"flip",-4452.35719470391
"125","ALLFRAMES",256,"construct",-3954.53714776501
"126","ALLFRAMES",256,"combine",-8504.11073386556
"127","ALLFRAMES",256,"decon",-4532.42282500935
"128","ALLFRAMES",256,"flip",-4456.67406454613
"129","ALLFRAMES",512,"construct",-3955.23179849951
"130","ALLFRAMES",512,"combine",-8506.59293402752
"131","ALLFRAMES",512,"decon",-4534.47771697507
"132","ALLFRAMES",512,"flip",-4466.16477523855
"133","D2",1,"construct",-3876.06502323557
"134","D2",1,"combine",-8075.94798187862
"135","D2",1,"decon",-4310.06565424319
"136","D2",1,"flip",-4087.30954326382
"137","D2",2,"construct",-3972.34692019765
"138","D2",2,"combine",-8135.26912246977
"139","D2",2,"decon",-4661.99628194416
"140","D2",2,"flip",-3998.11154282169
"141","D2",3,"construct",-3882.70379634166
"142","D2",3,"combine",-8641.07889413729
"143","D2",3,"decon",-4826.73833843237
"144","D2",3,"flip",-4247.67661123871
"145","D2",4,"construct",-3888.73631382191
"146","D2",4,"combine",-7850.29027928986
"147","D2",4,"decon",-4882.29564225598
"148","D2",4,"flip",-4330.30209743526
"149","D2",5,"construct",-3973.91262226335
"150","D2",5,"combine",-7749.42835573365
"151","D2",5,"decon",-4740.30726097251
"152","D2",5,"flip",-4350.97864745604
"153","D2",6,"construct",-3780.75156196111
"154","D2",6,"combine",-8122.77151096541
"155","D2",6,"decon",-4868.52124405611
"156","D2",6,"flip",-4180.05842011426
"157","D2",7,"construct",-3729.07915134223
"158","D2",7,"combine",-8004.54033502939
"159","D2",7,"decon",-5181.0980808877
"160","D2",7,"flip",-4177.74504321986
"161","D2",8,"construct",-3849.66674059914
"162","D2",8,"combine",-8166.885572367
"163","D2",8,"decon",-4665.60961701118
"164","D2",8,"flip",-4294.14881183665
"165","D2",9,"construct",-3775.90706128234
"166","D2",9,"combine",-7966.89794563718
"167","D2",9,"decon",-5239.43211083648
"168","D2",9,"flip",-4205.19611456136
"169","D2",10,"construct",-3821.74885300507
"170","D2",10,"combine",-7704.11148710674
"171","D2",10,"decon",-4730.01972253529
"172","D2",10,"flip",-4226.22197297491
"173","D2",16,"construct",-3725.33718511036
"174","D2",16,"combine",-7945.17692801322
"175","D2",16,"decon",-4872.35074795954
"176","D2",16,"flip",-4116.80930703487
"177","D2",32,"construct",-3814.44410572807
"178","D2",32,"combine",-7985.26085491898
"179","D2",32,"decon",-4883.77530626322
"180","D2",32,"flip",-4059.1632706558
"181","D2",64,"construct",-3764.93326712342
"182","D2",64,"combine",-7908.11780051104
"183","D2",64,"decon",-4638.55154635848
"184","D2",64,"flip",-4061.2887726698
"185","D2",128,"construct",-3856.1256052068
"186","D2",128,"combine",-7768.67057254988
"187","D2",128,"decon",-4923.57556828075
"188","D2",128,"flip",-4120.12711521476
"189","D2",256,"construct",-3825.08295708868
"190","D2",256,"combine",-7816.74535112198
"191","D2",256,"decon",-4972.39183010497
"192","D2",256,"flip",-4133.01997363173
"193","D2",512,"construct",-3825.55324506409
"194","D2",512,"combine",-7872.64262481722
"195","D2",512,"decon",-4771.59523835548
"196","D2",512,"flip",-4142.02893546277
"197","D2",1024,"construct",-3845.01163416634
"198","D2",1024,"combine",-7925.9669152442
"199","D2",1024,"decon",-4885.3991697329
"200","D2",1024,"flip",-4157.52076927042
