"","model","exp_id","params","LL"
"1","AG",1,0.566156951532111,-6152.60225201556
"2","AG",2,0.447732944583927,-6535.57889169182
"3","AG",3,0.614072072979496,-4250.85316071292
"4","AG",4,0.522929781405744,-4553.33301401599
"5","PCFG",1,0.519002670218296,-6238.92306403253
"6","PCFG",2,0.325826692081994,-6836.91331324348
"7","PCFG",3,0.686507105637448,-4065.27771608755
"8","PCFG",4,0.482856546660347,-4546.84846565132
