"","model","expt","condition","phase","trial","params","LL"
"1","PCFG","exp_1","construct","A",1,2.5387700034133,-126.982920515363
"2","PCFG","exp_1","construct","A",2,2.62801413706775,-151.359325997726
"3","PCFG","exp_1","construct","A",3,2.48709553288266,-124.756818644691
"4","PCFG","exp_1","construct","A",4,2.44681005727731,-116.612150899362
"5","PCFG","exp_1","construct","A",5,2.57374522842841,-143.493411974176
"6","PCFG","exp_1","construct","A",6,2.51151918507495,-129.870144058928
"7","PCFG","exp_1","construct","A",7,2.47755090626131,-114.580390995066
"8","PCFG","exp_1","construct","A",8,2.5686342324926,-136.856329961423
"9","PCFG","exp_1","construct","B",1,2.64998637799002,-121.853852600255
"10","PCFG","exp_1","construct","B",2,2.48490656267144,-82.2373748468136
"11","PCFG","exp_1","construct","B",3,2.64998637799002,-121.853852600255
"12","PCFG","exp_1","construct","B",4,2.63974059862232,-119.211916560517
"13","PCFG","exp_1","construct","B",5,2.72155723526109,-140.960968962346
"14","PCFG","exp_1","construct","B",6,2.6806873447335,-129.911263306415
"15","PCFG","exp_1","construct","B",7,2.64998637799002,-121.853852600255
"16","PCFG","exp_1","construct","B",8,2.70112974737395,-135.392371658641
"17","PCFG","exp_1","decon","A",1,2.97629949569724,-154.523424203382
"18","PCFG","exp_1","decon","A",2,2.18244524053241,-130.725524041257
"19","PCFG","exp_1","decon","A",3,2.43529995583146,-150.340624712228
"20","PCFG","exp_1","decon","A",4,2.08397861556265,-125.888690491522
"21","PCFG","exp_1","decon","A",5,2.41881509348185,-149.461028170734
"22","PCFG","exp_1","decon","A",6,2.48243705441597,-153.761613732738
"23","PCFG","exp_1","decon","A",7,2.59307011054314,-158.138626745216
"24","PCFG","exp_1","decon","A",8,2.72922353951864,-167.619050387477
"25","PCFG","exp_1","decon","B",1,2.02834971068923,-131.276793773326
"26","PCFG","exp_1","decon","B",2,1.98035048821637,-123.526857888892
"27","PCFG","exp_1","decon","B",3,2.11045157916314,-145.821052585718
"28","PCFG","exp_1","decon","B",4,1.99243000913195,-125.425239527866
"29","PCFG","exp_1","decon","B",5,2.13350855748501,-150.200056702231
"30","PCFG","exp_1","decon","B",6,2.06381604026501,-137.35929388413
"31","PCFG","exp_1","decon","B",7,2.02834971068923,-131.276793773326
"32","PCFG","exp_1","decon","B",8,2.156402372581,-154.676384846251
"33","PCFG","exp_1","combine","A",1,2.30924997353913,-132.197510815976
"34","PCFG","exp_1","combine","A",2,2.39654789099833,-151.924826054092
"35","PCFG","exp_1","combine","A",3,2.2582417330282,-129.745854785982
"36","PCFG","exp_1","combine","A",4,2.24958655984983,-128.266608122287
"37","PCFG","exp_1","combine","A",5,2.28312013480077,-134.085153087611
"38","PCFG","exp_1","combine","A",6,2.26170762765384,-130.342285117791
"39","PCFG","exp_1","combine","A",7,2.20090963343888,-114.469096688795
"40","PCFG","exp_1","combine","A",8,2.33220625331413,-138.876204741432
"41","PCFG","exp_1","combine","B",1,3.70983596276888,-158.822351052917
"42","PCFG","exp_1","combine","B",2,3.29740525231933,-58.0721698989529
"43","PCFG","exp_1","combine","B",3,3.33088505320414,-120.00866116244
"44","PCFG","exp_1","combine","B",4,3.28514049634973,-108.797249614128
"45","PCFG","exp_1","combine","B",5,3.3309186831636,-120.017042321169
"46","PCFG","exp_1","combine","B",6,3.23916917208572,-97.9146802518924
"47","PCFG","exp_1","combine","B",7,3.52136799894792,-108.946391309929
"48","PCFG","exp_1","combine","B",8,3.27865068940028,-107.237451171984
