"","model","condition","params","LL"
"1","AG","construct",0.523403406044142,-3953.30857000376
"2","AG","decon",0.503495399474223,-4579.51618035252
"3","AG","combine",0.426319699739233,-8445.66103423993
"4","AG","flip",0.594522983892362,-4460.99013936386
"5","PCFG","construct",0.383720706987064,-3951.26912508762
"6","PCFG","decon",0.221854713980779,-5120.56778362039
"7","PCFG","combine",0.442067019279858,-8181.76732046692
"8","PCFG","flip",0.574735124381983,-4169.41071103857
