"","model","condition","params","LL"
"1","AG","construct",0.535402020194834,-3955.09896569543
"2","AG","decon",0.517620373361259,-4579.23361229197
"3","AG","combine",0.433922143722363,-8455.3253468793
"4","AG","flip",0.605766314510858,-4462.36229471182
