"","model","condition","params","LL"
"1","AGR","construct",0.36393103456356,-3957.94116700241
"2","AGR","decon",0.411456545832303,-4437.43139398425
"3","AGR","combine",0.205185295785378,-8512.43302736934
"4","AGR","flip",0.539587520442456,-4209.66250425472
