,rule,log_prob
75,"mult(spot(d),add(stick(d),mult(add(stripe(d),0),sub(add(spot(d),sub(2,spot(d))),stripe(d)))))",-32.30378644724399
76,"mult(stick(d),mult(spot(d),1))",-10.632773779711947
77,"sub(mult(mult(spot(d),1),add(0,stick(d))),0)",-19.76147016264762
78,"sub(mult(add(0,stick(d)),spot(d)),stripe(d))",-14.909439898728001
79,"mult(sub(0,spot(d)),sub(stripe(d),stick(d)))",-14.909439898728001
80,"mult(sub(spot(d),mult(stripe(d),sub(1,spot(d)))),stick(d))",-19.186106017744056
81,"sub(sub(add(add(stripe(d),mult(spot(d),stick(d))),stripe(d)),mult(mult(2,stripe(d)),3)),stripe(d))",-32.30378644724399
82,"mult(spot(d),mult(1,stick(d)))",-10.632773779711947
83,"mult(spot(d),add(0,stick(d)))",-10.632773779711947
84,"mult(sub(spot(d),stripe(d)),stick(d))",-10.345091707260165
85,"add(0,sub(mult(stick(d),spot(d)),0))",-15.197121971179781
86,"sub(mult(stick(d),spot(d)),0)",-10.632773779711945
87,"mult(mult(stick(d),spot(d)),mult(sub(1,mult(stripe(d),stripe(d))),1))",-23.750454209211888
88,"mult(mult(1,stick(d)),spot(d))",-10.632773779711947
89,"mult(mult(stick(d),spot(d)),sub(1,stripe(d)))",-14.909439898728001
90,"mult(sub(stick(d),stripe(d)),add(spot(d),stripe(d)))",-14.62175782627622
91,"mult(stick(d),add(stripe(d),spot(d)))",-10.345091707260165
92,"sub(0,mult(add(sub(0,spot(d)),0),stick(d)))",-19.76147016264762
93,"mult(spot(d),add(stick(d),0))",-10.632773779711947
94,"add(mult(stick(d),spot(d)),0)",-10.632773779711947
95,"mult(sub(spot(d),0),stick(d))",-10.632773779711947
96,"add(add(mult(sub(spot(d),0),stick(d)),mult(stripe(d),stick(d))),mult(stick(d),add(stripe(d),stripe(d))))",-32.016104374792214
97,"mult(spot(d),sub(stick(d),mult(stripe(d),add(sub(spot(d),spot(d)),3))))",-23.462772136760105
98,"mult(stick(d),sub(spot(d),mult(3,0)))",-15.197121971179783
99,"mult(add(stripe(d),add(0,spot(d))),sub(stick(d),stripe(d)))",-19.186106017744056
100,"mult(stick(d),add(mult(2,mult(spot(d),0)),add(spot(d),stripe(d))))",-23.75045420921189
101,"add(mult(spot(d),stick(d)),mult(spot(d),mult(3,0)))",-19.473788090195836
102,"mult(spot(d),add(sub(stick(d),1),1))",-15.197121971179783
103,"mult(mult(1,spot(d)),add(0,add(0,stick(d))))",-19.76147016264762
104,"add(mult(spot(d),stick(d)),mult(stripe(d),sub(0,3)))",-19.473788090195836
105,"add(add(mult(spot(d),stick(d)),sub(0,stripe(d))),stripe(d))",-19.186106017744056
106,"mult(mult(stick(d),spot(d)),1)",-10.632773779711947
107,"add(0,add(mult(spot(d),stick(d)),stripe(d)))",-14.909439898728001
108,"mult(add(stick(d),add(sub(stripe(d),sub(0,0)),0)),spot(d))",-24.038136281663668
109,"mult(stick(d),mult(1,spot(d)))",-10.632773779711947
110,"add(0,mult(stick(d),spot(d)))",-10.632773779711947
111,"sub(mult(spot(d),stick(d)),stripe(d))",-10.345091707260165
112,"mult(add(spot(d),0),stick(d))",-10.632773779711947
113,"mult(add(mult(stripe(d),1),stick(d)),spot(d))",-14.909439898728001
114,"mult(add(stick(d),add(mult(stick(d),0),0)),spot(d))",-19.473788090195836
115,"mult(mult(1,spot(d)),stick(d))",-10.632773779711947
116,"mult(mult(1,stick(d)),sub(spot(d),0))",-15.197121971179783
117,"add(stripe(d),add(stick(d),mult(sub(spot(d),1),stick(d))))",-19.18610601774406
118,"add(mult(stick(d),0),add(mult(spot(d),stick(d)),0))",-19.47378809019584
119,"mult(spot(d),sub(0,sub(sub(sub(mult(3,0),0),stick(d)),stripe(d))))",-28.602484473131497
120,"mult(add(0,sub(stick(d),mult(stripe(d),add(3,stripe(d))))),spot(d))",-23.750454209211885
121,"add(add(sub(mult(spot(d),stick(d)),stick(d)),mult(1,stick(d))),stripe(d))",-23.46277213676011
122,"mult(add(stick(d),mult(stripe(d),stripe(d))),spot(d))",-14.62175782627622
123,"mult(add(mult(spot(d),1),0),stick(d))",-15.197121971179783
124,"mult(mult(stick(d),mult(1,mult(mult(1,1),spot(d)))),1)",-24.32581835411545
125,"mult(spot(d),add(stick(d),sub(1,1)))",-15.197121971179783
126,"mult(add(0,sub(stick(d),stripe(d))),spot(d))",-14.909439898728001
127,"add(mult(spot(d),stripe(d)),mult(stick(d),spot(d)))",-14.62175782627622
128,"sub(add(mult(stick(d),spot(d)),stripe(d)),mult(2,0))",-19.47378809019584
129,"mult(mult(1,stick(d)),mult(1,spot(d)))",-15.197121971179783
130,"add(0,mult(sub(stick(d),mult(3,stripe(d))),spot(d)))",-19.47378809019584
131,"mult(stick(d),sub(add(spot(d),0),stripe(d)))",-14.909439898728001
132,"mult(spot(d),add(add(0,stripe(d)),stick(d)))",-14.909439898728001
133,"mult(spot(d),sub(stick(d),0))",-10.632773779711947
134,"mult(spot(d),add(stripe(d),sub(stick(d),stripe(d))))",-14.62175782627622
135,"mult(sub(add(mult(add(stick(d),spot(d)),1),stripe(d)),spot(d)),spot(d))",-23.462772136760115
136,"add(sub(stripe(d),stripe(d)),mult(stick(d),sub(spot(d),stripe(d))))",-18.898423945292276
137,"add(mult(spot(d),stick(d)),0)",-10.632773779711947
138,"add(1,sub(sub(mult(spot(d),stick(d)),mult(3,0)),1))",-24.32581835411545
139,"mult(add(mult(spot(d),0),spot(d)),stick(d))",-14.909439898728001
140,"mult(spot(d),add(spot(d),sub(0,sub(spot(d),stick(d)))))",-19.186106017744056
141,"mult(add(stick(d),0),spot(d))",-10.632773779711947
142,"sub(mult(spot(d),stick(d)),0)",-10.632773779711947
143,"mult(add(stick(d),mult(spot(d),0)),spot(d))",-14.909439898728001
144,"mult(stick(d),sub(0,sub(stripe(d),spot(d))))",-14.909439898728001
145,"sub(sub(sub(spot(d),spot(d)),mult(spot(d),add(sub(stripe(d),stick(d)),0))),0)",-28.02712032822794
146,"sub(add(mult(spot(d),stick(d)),add(mult(0,2),1)),1)",-24.325818354115448
147,"add(mult(spot(d),stick(d)),mult(stripe(d),mult(stick(d),spot(d))))",-18.898423945292276
148,"mult(spot(d),add(stick(d),mult(2,stripe(d))))",-14.909439898728001
149,"mult(add(stick(d),sub(1,1)),spot(d))",-15.197121971179783
150,"sub(mult(spot(d),stick(d)),mult(spot(d),sub(stripe(d),0)))",-19.186106017744052
151,"mult(stick(d),sub(spot(d),mult(mult(3,spot(d)),stripe(d))))",-19.18610601774406
152,"mult(add(spot(d),mult(stripe(d),stick(d))),stick(d))",-14.62175782627622
153,"mult(add(spot(d),0),add(stick(d),0))",-15.197121971179783
154,"add(mult(spot(d),stick(d)),sub(spot(d),spot(d)))",-14.62175782627622
155,"mult(mult(1,add(stripe(d),mult(stick(d),spot(d)))),1)",-19.47378809019584
156,"mult(add(0,mult(stick(d),spot(d))),add(1,stripe(d)))",-19.473788090195843
157,"mult(add(mult(2,0),stick(d)),spot(d))",-15.197121971179783
158,"mult(spot(d),sub(stick(d),mult(stick(d),stripe(d))))",-14.62175782627622
159,"sub(stripe(d),mult(add(sub(stripe(d),stick(d)),0),spot(d)))",-19.18610601774406
160,"mult(spot(d),add(add(stick(d),stripe(d)),stripe(d)))",-14.62175782627622
161,"sub(mult(stick(d),spot(d)),mult(spot(d),mult(stripe(d),sub(spot(d),stripe(d)))))",-23.17509006430833
162,"mult(add(stripe(d),mult(spot(d),stick(d))),1)",-14.909439898728001
163,"mult(mult(stick(d),1),add(spot(d),0))",-15.197121971179783
164,"add(sub(spot(d),spot(d)),mult(stick(d),spot(d)))",-14.62175782627622
165,"mult(mult(spot(d),1),add(stick(d),stripe(d)))",-14.909439898728001
166,"sub(mult(spot(d),stick(d)),add(mult(spot(d),sub(stripe(d),1)),mult(1,spot(d))))",-28.027120328227937
167,"sub(mult(stick(d),spot(d)),mult(sub(stick(d),mult(sub(stripe(d),stripe(d)),spot(d))),stripe(d)))",-27.451756183324378
168,"sub(mult(mult(1,spot(d)),stick(d)),0)",-15.197121971179783
169,"mult(spot(d),add(0,add(spot(d),sub(stick(d),add(stripe(d),spot(d))))))",-23.46277213676011
170,"add(stripe(d),mult(stick(d),add(spot(d),0)))",-14.909439898728001
171,"mult(spot(d),sub(2,sub(spot(d),2)))",-15.197121971179783
172,"mult(sub(add(1,1),1),mult(spot(d),stick(d)))",-19.76147016264762
173,"mult(add(stripe(d),stick(d)),spot(d))",-10.345091707260165
174,"mult(stick(d),add(sub(0,mult(add(stripe(d),sub(sub(stripe(d),spot(d)),stripe(d))),stripe(d))),spot(d)))",-32.016104374792214
175,"mult(add(stick(d),mult(0,mult(spot(d),0))),spot(d))",-19.47378809019584
176,"mult(add(mult(spot(d),0),sub(stick(d),mult(sub(spot(d),sub(spot(d),2)),0))),spot(d))",-32.59146851969577
177,"mult(sub(spot(d),stripe(d)),mult(1,stick(d)))",-14.909439898728001
178,"mult(spot(d),sub(mult(stick(d),1),stripe(d)))",-14.909439898728001
179,"mult(sub(spot(d),stripe(d)),add(add(mult(0,stick(d)),stick(d)),stripe(d)))",-23.462772136760105
180,"sub(mult(spot(d),stick(d)),sub(stick(d),stick(d)))",-14.62175782627622
181,"mult(1,mult(spot(d),stick(d)))",-10.632773779711945
182,"mult(stick(d),add(mult(add(add(1,spot(d)),stick(d)),mult(2,stripe(d))),spot(d)))",-28.027120328227937
183,"sub(mult(spot(d),sub(add(3,add(stripe(d),2)),sub(spot(d),0))),spot(d))",-28.31480240067972
184,"add(mult(stripe(d),stripe(d)),mult(spot(d),stick(d)))",-14.62175782627622
