,rule,log_prob
80,"add(sub(2,stripe(d)),1)",-10.920455852163727
81,"sub(mult(add(0,stick(d)),spot(d)),stripe(d))",-14.909439898728001
82,"add(sub(sub(0,mult(3,mult(mult(0,2),stick(d)))),stripe(d)),stick(d))",-28.602484473131497
83,"mult(sub(0,spot(d)),sub(stripe(d),stick(d)))",-14.909439898728001
84,"sub(3,mult(stripe(d),1))",-10.920455852163728
85,"sub(sub(stick(d),add(sub(stripe(d),2),0)),add(1,spot(d)))",-24.03813628166367
86,"add(sub(stick(d),stripe(d)),0)",-10.632773779711947
87,"sub(sub(add(stick(d),stripe(d)),stripe(d)),stripe(d))",-14.62175782627622
88,"sub(stick(d),add(0,stripe(d)))",-10.632773779711945
89,"sub(3,sub(stripe(d),0))",-10.920455852163728
90,"sub(sub(3,sub(sub(3,3),sub(stick(d),stick(d)))),stripe(d))",-24.038136281663668
91,"sub(2,sub(add(stripe(d),spot(d)),sub(stick(d),1)))",-19.473788090195836
92,"sub(3,sub(sub(stripe(d),0),0))",-15.484804043631565
93,"sub(sub(2,2),mult(mult(spot(d),sub(stripe(d),sub(3,0))),spot(d)))",-28.602484473131504
94,"sub(sub(add(stick(d),sub(stick(d),stripe(d))),mult(mult(1,1),add(1,spot(d)))),1)",-32.87915059214755
95,"mult(sub(3,stripe(d)),sub(add(2,add(1,1)),3))",-24.613500426567228
96,"add(add(sub(mult(0,1),stripe(d)),0),3)",-20.049152235099395
97,"sub(add(stick(d),sub(mult(0,3),stripe(d))),0)",-19.761470162647615
98,"add(2,sub(spot(d),stripe(d)))",-10.632773779711947
99,"mult(1,sub(3,sub(sub(add(spot(d),add(stripe(d),stick(d))),stick(d)),1)))",-28.314802400679724
100,"sub(sub(3,stripe(d)),0)",-10.920455852163727
101,"add(sub(1,stripe(d)),2)",-10.920455852163728
102,"mult(mult(mult(spot(d),1),sub(2,stick(d))),sub(stripe(d),mult(spot(d),stick(d))))",-28.027120328227944
103,"add(sub(mult(2,sub(sub(spot(d),0),1)),stripe(d)),stick(d))",-24.038136281663668
104,"sub(spot(d),sub(stripe(d),add(spot(d),1)))",-14.909439898728001
105,"mult(spot(d),sub(3,stripe(d)))",-10.632773779711947
106,"sub(sub(stick(d),stripe(d)),0)",-10.632773779711947
107,"add(1,sub(2,stripe(d)))",-10.920455852163727
108,"mult(sub(3,stripe(d)),sub(1,0))",-15.484804043631565
109,"sub(add(mult(0,0),sub(stick(d),0)),stripe(d))",-19.76147016264762
110,"add(add(stripe(d),mult(1,sub(3,add(mult(stick(d),stripe(d)),0)))),stripe(d))",-28.31480240067972
111,"sub(stick(d),sub(mult(stripe(d),1),0))",-15.197121971179783
112,"add(sub(sub(add(spot(d),3),spot(d)),stripe(d)),0)",-19.473788090195836
113,"add(add(sub(2,sub(0,0)),mult(sub(spot(d),2),stripe(d))),spot(d))",-28.6024844731315
114,"sub(sub(3,0),stripe(d))",-10.920455852163728
115,"add(add(3,sub(spot(d),stripe(d))),sub(spot(d),2))",-19.47378809019584
116,"add(spot(d),sub(add(sub(1,2),3),stripe(d)))",-19.76147016264762
117,"add(sub(sub(stick(d),stripe(d)),3),3)",-15.197121971179783
118,"sub(mult(spot(d),mult(spot(d),stick(d))),stripe(d))",-14.62175782627622
119,"sub(1,add(sub(1,stick(d)),stripe(d)))",-15.197121971179783
120,"sub(add(stick(d),0),stripe(d))",-10.632773779711947
121,"sub(add(2,1),mult(spot(d),stripe(d)))",-15.197121971179783
122,"sub(sub(add(sub(1,stripe(d)),3),0),spot(d))",-19.761470162647615
123,"add(0,sub(sub(stick(d),stripe(d)),0))",-15.197121971179783
124,"sub(add(add(3,sub(1,1)),sub(1,spot(d))),stripe(d))",-24.32581835411545
125,"mult(1,sub(stick(d),stripe(d)))",-10.632773779711947
126,"sub(mult(3,spot(d)),stripe(d))",-10.632773779711945
127,"mult(add(add(sub(3,stick(d)),2),sub(spot(d),stripe(d))),spot(d))",-23.750454209211888
128,"mult(spot(d),sub(spot(d),sub(stripe(d),2)))",-14.909439898728001
129,"sub(mult(spot(d),stick(d)),stripe(d))",-10.345091707260165
130,"sub(add(1,mult(2,spot(d))),stripe(d))",-15.197121971179783
131,"mult(sub(add(3,stick(d)),mult(add(stripe(d),stick(d)),spot(d))),spot(d))",-23.46277213676011
132,"sub(spot(d),add(spot(d),add(mult(spot(d),sub(0,3)),stripe(d))))",-23.750454209211888
133,"add(add(sub(sub(spot(d),2),add(stripe(d),spot(d))),add(1,1)),3)",-28.6024844731315
134,"sub(add(0,stick(d)),mult(stripe(d),spot(d)))",-14.909439898728001
135,"mult(sub(3,stripe(d)),1)",-10.920455852163728
136,"add(sub(stick(d),stripe(d)),mult(0,mult(1,spot(d))))",-19.473788090195836
137,"add(mult(stick(d),1),sub(0,stripe(d)))",-15.197121971179783
138,"sub(mult(mult(spot(d),sub(2,stick(d))),sub(stripe(d),stick(d))),mult(2,0))",-28.314802400679724
139,"add(3,sub(sub(1,add(mult(1,0),1)),stripe(d)))",-24.61350042656723
140,"add(sub(3,mult(stripe(d),2)),stripe(d))",-15.197121971179783
