"","run","iter","depth","condition","cfit"
"127",0,512,1,"decon",-4393.168750833
"128",0,512,1,"flip",-4154.91748620439
"129",0,1024,2,"construct",-3815.94480486844
"130",0,1024,2,"combine",-8019.53669938125
"131",0,1024,2,"decon",-4949.86429404023
"132",0,1024,2,"flip",-4071.45088846956
"133",0,1024,1,"construct",-3839.26997924245
"134",0,1024,1,"combine",-8288.87331298206
"135",0,1024,1,"decon",-4395.66213713691
"136",0,1024,1,"flip",-4160.91319614002
"137",1,1,2,"construct",-3687.59276907519
"138",1,1,2,"combine",-8555.45892414714
"139",1,1,2,"decon",-4358.43026394823
"140",1,1,2,"flip",-4179.7780738445
"141",1,1,1,"construct",-4026.74164193591
"142",1,1,1,"combine",-8686.95800759916
"143",1,1,1,"decon",-4290.81597525419
"144",1,1,1,"flip",-4025.19252001342
"145",1,2,2,"construct",-3524.74007263865
"146",1,2,2,"combine",-8351.23109440462
"147",1,2,2,"decon",-4133.77238155184
"148",1,2,2,"flip",-4288.51319912514
"149",1,2,1,"construct",-3841.04484977752
"150",1,2,1,"combine",-7869.42226670621
"151",1,2,1,"decon",-4276.25234277668
"152",1,2,1,"flip",-3985.91615428767
"153",1,3,2,"construct",-3775.13130710735
"154",1,3,2,"combine",-7711.17177773321
"155",1,3,2,"decon",-4425.68014821424
"156",1,3,2,"flip",-3990.41767938938
"157",1,3,1,"construct",-3821.02664963334
"158",1,3,1,"combine",-8057.04773258765
"159",1,3,1,"decon",-4353.26388668989
"160",1,3,1,"flip",-3943.24287471865
"161",1,4,2,"construct",-3628.62955751767
"162",1,4,2,"combine",-7680.74941648723
"163",1,4,2,"decon",-4728.03821924919
"164",1,4,2,"flip",-4078.45927736612
"165",1,4,1,"construct",-3679.19644879848
"166",1,4,1,"combine",-7658.41090511319
"167",1,4,1,"decon",-4350.98947092713
"168",1,4,1,"flip",-3913.32643737787
"169",1,5,2,"construct",-3760.62924819221
"170",1,5,2,"combine",-7968.65815698535
"171",1,5,2,"decon",-4433.76204804241
"172",1,5,2,"flip",-4040.79398873174
"173",1,5,1,"construct",-3634.92911490256
