"","run","iter","depth","condition","cfit"
"127",0,512,1,"decon",-4532.61868801113
"128",0,512,1,"flip",-4466.77574861633
"129",0,1024,2,"construct",-3831.36165601613
"130",0,1024,2,"combine",-7834.78818661874
"131",0,1024,2,"decon",-4930.7219631758
"132",0,1024,2,"flip",-4164.76188600202
"133",0,1024,1,"construct",-3958.35071869396
"134",0,1024,1,"combine",-8510.79510165464
"135",0,1024,1,"decon",-4535.7860338146
"136",0,1024,1,"flip",-4472.93709830427
"137",1,1,2,"construct",-3726.76199779524
"138",1,1,2,"combine",-8388.20414302794
"139",1,1,2,"decon",-4448.70438714945
"140",1,1,2,"flip",-4336.65247017497
"141",1,1,1,"construct",-3930.54713367765
"142",1,1,1,"combine",-9255.23215767733
"143",1,1,1,"decon",-4466.26051450576
"144",1,1,1,"flip",-4219.46078179057
"145",1,2,2,"construct",-3621.70189280049
"146",1,2,2,"combine",-8407.34447650823
"147",1,2,2,"decon",-4262.30536203049
"148",1,2,2,"flip",-4377.62779566521
"149",1,2,1,"construct",-3770.76985805833
"150",1,2,1,"combine",-8104.02467129452
"151",1,2,1,"decon",-4463.91593295865
"152",1,2,1,"flip",-4312.36427413583
"153",1,3,2,"construct",-3806.74069398168
"154",1,3,2,"combine",-7761.38189277812
"155",1,3,2,"decon",-4322.19183385448
"156",1,3,2,"flip",-4042.43406516881
"157",1,3,1,"construct",-3964.40174322387
"158",1,3,1,"combine",-8373.49221888962
"159",1,3,1,"decon",-4466.72261582984
"160",1,3,1,"flip",-4303.18543352459
"161",1,4,2,"construct",-3734.46131151362
"162",1,4,2,"combine",-8384.65781189413
"163",1,4,2,"decon",-4706.9184655705
"164",1,4,2,"flip",-4418.21780681081
"165",1,4,1,"construct",-3833.42494340981
"166",1,4,1,"combine",-7859.9227650835
"167",1,4,1,"decon",-4466.04906385108
"168",1,4,1,"flip",-4326.25455296313
"169",1,5,2,"construct",-4197.34179770777
"170",1,5,2,"combine",-7901.23190016962
"171",1,5,2,"decon",-4616.74273149459
"172",1,5,2,"flip",-4414.43084040032
"173",1,5,1,"construct",-3795.5930487865
"174",1,5,1,"combine",-7950.54699792727
"175",1,5,1,"decon",-4464.65563489334
"176",1,5,1,"flip",-4283.19321409405
"177",1,6,2,"construct",-3824.7906202585
"178",1,6,2,"combine",-8516.56331094235
"179",1,6,2,"decon",-4736.16811694508
"180",1,6,2,"flip",-4283.54889531652
"181",1,6,1,"construct",-3809.99009062738
"182",1,6,1,"combine",-7922.26756533311
"183",1,6,1,"decon",-4468.51924973285
"184",1,6,1,"flip",-4339.57767034417
"185",1,7,2,"construct",-4021.47827692175
"186",1,7,2,"combine",-8093.38786635093
"187",1,7,2,"decon",-4160.33500258665
