"model","nll","haz","par","n_par","BIC"
"AGR",20580.3720148392,0.0324,"0.5032",2,41173.4353024001
"AG",21430.356284734,0.04,NA,1,42867.0582058288
"RRR",22307.756203929,0.0383,"0.6129",1,44621.8580442188
"RR",22312.3480701534,0.0369,NA,1,44631.0417766676
"GpReg",23526.1481812938,0.03,NA,1,47058.6419989484
"Similarity",23725.5289477951,0.0381,"0.99,0.81,0.71",1,47457.403531951
"Multinom",25002.2003863854,0.05,NA,1,50010.7464091316
"LinReg",25269.6246774699,0.05,NA,1,50545.5949913006
"Baseline",25838.9056977927,NA,NA,1,51684.1570319462
