"","model","condition","params","LL","a","b","c"
"1","similarity","construct",0.530699099279176,-4615.80663289616,0.948460221418167,0.850616228475696,0.655705492386142
"2","similarity","decon",0.596958330047657,-4959.10810144113,1.00161455119931,0.909998940089222,0.675943731176992
"3","similarity","combine",0.515804447286203,-9363.63230358513,1.11255723389131,0.683488519283112,0.791892102675244
"4","similarity","flip",0.788551633736418,-4961.97495238434,0.969399232428144,0.733532060197293,0.797229390431852
