"","model","condition","params","LL"
"1","pcfg","construct",0.348957511295362,-3954.73221235404
"2","pcfg","decon",0.203735028707073,-5075.75977980326
"3","pcfg","combine",0.40055620106829,-8183.13227076676
"4","pcfg","flip",0.54800440109848,-4166.3973315559
