"","model","condition","params","LL"
"1","multinom","construct",1.7657899355458,-4760.69882854197
"2","multinom","decon",1.72004784353656,-5244.29277855386
"3","multinom","combine",1.59113580078438,-9864.46878677897
"4","multinom","flip",2.22088782011634,-5255.33762917391
