"","model","condition","params","LL"
"1","GPR","construct",0.155946953662316,-4770.08707429774
"2","GPR","decon",0.377356918722687,-4840.4534542503
"3","GPR","combine",0.128057381619378,-9385.59325203948
"4","GPR","flip",0.608838555933844,-4677.68913444354
