"","model","condition","params","LL"
"1","lm","construct",1.72741989420751,-4799.32236772643
"2","lm","decon",1.69670460653591,-5275.01638072389
"3","lm","combine",1.7799605061241,-9661.31428610723
"4","lm","flip",2.1475244426014,-5268.38093761337
