,terms,arg_types,return_type,type,is_init,count,comp_lp
32,"[SS,[BB,subnn,[SS,[KB,addnn,[B,I,I]],[SS,[BB,subnn,[CS,[BB,mulnn,[BK,[addnn,0],getStripe]],[B,I,I]]],[BK,[mulnn,1],getDot]]]],[BK,[subnn,4],getStripe]]",egg_num,num,program,0.0,1.0,-42.32392852205671
33,"[SS,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[CK,[B,mulnn,getDot],1]]",egg_num,num,program,0.0,11.0,-18.768218389637337
34,"[SS,[BB,subnn,[CB,[B,mulnn,[B,[addnn,0],getStripe]],[C,[B,mulnn,[B,I,I]],1]]],[CK,[B,mulnn,getDot],1]]",egg_num,num,program,0.0,1.0,-27.650054694641483
35,"[SS,[BB,subnn,[KS,[B,mulnn,[B,[subnn,4],[B,I,I]]],[B,I,I]]],[CK,[B,mulnn,getDot],1]]",egg_num,num,program,0.0,8.0,-23.55571013241938
36,"[SS,[BB,subnn,[SB,[K,addnn,0],[CB,[B,mulnn,[B,getStripe,I]],[B,[addnn,0],[B,I,I]]]]],[CK,[B,mulnn,getDot],1]]",egg_num,num,program,0.0,1.0,-29.729496236321317
37,"[SC,[BB,addnn,[SS,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[CK,[B,mulnn,getDot],1]]],[K,getDot,Egg(S2,O0)]]",egg_num,num,program,0.0,1.0,-28.630883947653206
38,"[SS,[BB,subnn,[SS,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[CK,[B,mulnn,getDot],1]]],[KK,[mulnn,3],0]]",egg_num,num,program,0.0,3.0,-31.11579059744121
39,"[SS,[BK,mulnn,[K,getDot,Egg(S3,O1)]],[SS,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[CK,[B,mulnn,getDot],1]]]",egg_num,num,program,0.0,1.0,-28.63088394765321
40,"[SB,[K,addnn,0],[SS,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[CK,[B,mulnn,getDot],1]]]",egg_num,num,program,0.0,3.0,-24.942004493539272
41,"[CC,[BB,addnn,[SS,[BB,subnn,[BC,[B,mulnn,[B,I,I]],getStripe]],[CK,[B,mulnn,getDot],1]]],0]",egg_num,num,program,0.0,1.0,-25.63515167409922
