,terms,log_prob
60,"[SC,[CB,[B,ifElse,PM(""obj_bool"")],PM(""obj_obj"")],PM(""obj_obj"")]",-5.545177444479562
61,"[SC,[CK,[B,ifElse,PM(""obj_bool"")],obj],PM(""obj_obj"")]",-5.545177444479562
62,"[SC,[CC,[BB,ifElse,PM(""obj_obj_bool"")],obj],PM(""obj_obj"")]",-5.545177444479562
63,"[SC,[CS,[BB,ifElse,PM(""obj_obj_bool"")],PM(""obj_obj"")],PM(""obj_obj"")]",-5.545177444479562
64,"[SC,[SK,[B,ifElse,PM(""obj_bool"")],PM(""obj_obj"")],PM(""obj_obj"")]",-5.545177444479562
65,"[SC,[SC,[BB,ifElse,PM(""obj_obj_bool"")],PM(""obj_obj"")],PM(""obj_obj"")]",-5.545177444479562
66,"[BK,[setColor,obj],PM(""obj_col"")]",-2.772588722239781
67,"[BC,[B,setColor,PM(""obj_obj"")],PM(""obj_col"")]",-2.772588722239781
68,"[KB,[setColor,obj],PM(""obj_col"")]",-2.772588722239781
69,"[KK,[setColor,obj],col]",-2.772588722239781
70,"[KC,[B,setColor,PM(""obj_obj"")],col]",-2.772588722239781
71,"[KS,[B,setColor,PM(""obj_obj"")],PM(""obj_col"")]",-2.772588722239781
72,"[CB,[B,setColor,PM(""obj_obj"")],PM(""obj_col"")]",-2.772588722239781
73,"[CK,[B,setColor,PM(""obj_obj"")],col]",-2.772588722239781
74,"[SK,[B,setColor,PM(""obj_obj"")],PM(""obj_col"")]",-2.772588722239781
75,"[BK,[setDensity,obj],PM(""obj_int"")]",-2.772588722239781
76,"[BC,[B,setDensity,PM(""obj_obj"")],PM(""obj_int"")]",-2.772588722239781
77,"[KB,[setDensity,obj],PM(""obj_int"")]",-2.772588722239781
78,"[KK,[setDensity,obj],int]",-2.772588722239781
79,"[KC,[B,setDensity,PM(""obj_obj"")],int]",-2.772588722239781
80,"[KS,[B,setDensity,PM(""obj_obj"")],PM(""obj_int"")]",-2.772588722239781
81,"[CB,[B,setDensity,PM(""obj_obj"")],PM(""obj_int"")]",-2.772588722239781
82,"[CK,[B,setDensity,PM(""obj_obj"")],int]",-2.772588722239781
83,"[SK,[B,setDensity,PM(""obj_obj"")],PM(""obj_int"")]",-2.772588722239781
84,"[BK,[setPattern,obj],PM(""obj_pat"")]",-2.772588722239781
85,"[BC,[B,setPattern,PM(""obj_obj"")],PM(""obj_pat"")]",-2.772588722239781
86,"[KB,[setPattern,obj],PM(""obj_pat"")]",-2.772588722239781
87,"[KK,[setPattern,obj],pat]",-2.772588722239781
88,"[KC,[B,setPattern,PM(""obj_obj"")],pat]",-2.772588722239781
89,"[KS,[B,setPattern,PM(""obj_obj"")],PM(""obj_pat"")]",-2.772588722239781
90,"[CB,[B,setPattern,PM(""obj_obj"")],PM(""obj_pat"")]",-2.772588722239781
91,"[CK,[B,setPattern,PM(""obj_obj"")],pat]",-2.772588722239781
92,"[SK,[B,setPattern,PM(""obj_obj"")],PM(""obj_pat"")]",-2.772588722239781
93,"[BK,[setSaturation,obj],PM(""obj_int"")]",-2.772588722239781
94,"[BC,[B,setSaturation,PM(""obj_obj"")],PM(""obj_int"")]",-2.772588722239781
95,"[KB,[setSaturation,obj],PM(""obj_int"")]",-2.772588722239781
96,"[KK,[setSaturation,obj],int]",-2.772588722239781
97,"[KC,[B,setSaturation,PM(""obj_obj"")],int]",-2.772588722239781
98,"[KS,[B,setSaturation,PM(""obj_obj"")],PM(""obj_int"")]",-2.772588722239781
99,"[CB,[B,setSaturation,PM(""obj_obj"")],PM(""obj_int"")]",-2.772588722239781
100,"[CK,[B,setSaturation,PM(""obj_obj"")],int]",-2.772588722239781
101,"[SK,[B,setSaturation,PM(""obj_obj"")],PM(""obj_int"")]",-2.772588722239781
102,"[BK,[setShape,obj],PM(""obj_shp"")]",-2.772588722239781
103,"[BC,[B,setShape,PM(""obj_obj"")],PM(""obj_shp"")]",-2.772588722239781
104,"[KB,[setShape,obj],PM(""obj_shp"")]",-2.772588722239781
105,"[KK,[setShape,obj],shp]",-2.772588722239781
106,"[KC,[B,setShape,PM(""obj_obj"")],shp]",-2.772588722239781
107,"[KS,[B,setShape,PM(""obj_obj"")],PM(""obj_shp"")]",-2.772588722239781
108,"[CB,[B,setShape,PM(""obj_obj"")],PM(""obj_shp"")]",-2.772588722239781
109,"[CK,[B,setShape,PM(""obj_obj"")],shp]",-2.772588722239781
110,"[SK,[B,setShape,PM(""obj_obj"")],PM(""obj_shp"")]",-2.772588722239781
111,"[BK,[setSize,obj],PM(""obj_int"")]",-2.772588722239781
112,"[BC,[B,setSize,PM(""obj_obj"")],PM(""obj_int"")]",-2.772588722239781
113,"[KB,[setSize,obj],PM(""obj_int"")]",-2.772588722239781
114,"[KK,[setSize,obj],int]",-2.772588722239781
115,"[KC,[B,setSize,PM(""obj_obj"")],int]",-2.772588722239781
116,"[KS,[B,setSize,PM(""obj_obj"")],PM(""obj_int"")]",-2.772588722239781
117,"[CB,[B,setSize,PM(""obj_obj"")],PM(""obj_int"")]",-2.772588722239781
118,"[CK,[B,setSize,PM(""obj_obj"")],int]",-2.772588722239781
119,"[SK,[B,setSize,PM(""obj_obj"")],PM(""obj_int"")]",-2.772588722239781
