,terms,is_set
2,"[SC,[CS,[B,ifElse,eqObject],I],I]",0.0
3,"[SC,[CS,[B,ifElse,eqObject],I],I]",0.0
4,"[SC,[BK,[ifElse,bool],I],I]",1.0
5,"[SC,[SC,[B,ifElse,eqObject],I],I]",0.0
6,"[SC,[SC,[B,ifElse,eqObject],I],I]",0.0
7,"[SC,[KB,[ifElse,bool],I],I]",1.0
8,"[SC,[KK,[ifElse,bool],obj],I]",1.0
0,"[SK,[B,[ifElse,bool],I],I]",1.0
1,"[SK,[K,[ifElse,bool],obj],I]",1.0
0,"[KC,[B,[ifElse,bool],I],obj]",1.0
1,"[KC,[K,[ifElse,bool],obj],obj]",1.0
0,"[KB,[[ifElse,bool],obj],I]",1.0
0,"[KS,[B,[ifElse,bool],I],I]",1.0
1,"[KS,[K,[ifElse,bool],obj],I]",1.0
0,"[KK,[[ifElse,bool],obj],obj]",1.0
