,terms,log_prob
55,"[CC,[CC,[BB,ifElse,[KS,[B,eqDensity,getSaturation],getSize]],obj],obj]",-8.514990744055563
56,"[CC,[CC,[BB,ifElse,[KS,[B,eqDensity,getSize],getDensity]],obj],obj]",-8.514990744055563
57,"[CC,[CC,[BB,ifElse,[KS,[B,eqDensity,getSize],getSaturation]],obj],obj]",-8.514990744055563
58,"[CC,[CC,[BB,ifElse,[KS,[B,eqDensity,getSize],getSize]],obj],obj]",-8.514990744055563
59,"[CC,[CC,[BB,ifElse,[KK,[eqDensity,int],int]],obj],obj]",-4.317766166719343
60,"[CC,[CC,[BB,ifElse,[CC,[BB,eqObject,PM(""obj_obj_obj"")],obj]],obj],obj]",-4.317766166719343
61,"[CC,[CC,[BB,ifElse,[CB,[B,eqObject,PM(""obj_obj"")],PM(""obj_obj"")]],obj],obj]",-4.317766166719343
62,"[CC,[CC,[BB,ifElse,[CS,[BB,eqObject,PM(""obj_obj_obj"")],PM(""obj_obj"")]],obj],obj]",-4.317766166719343
63,"[CC,[CC,[BB,ifElse,[CK,[B,eqObject,PM(""obj_obj"")],obj]],obj],obj]",-4.317766166719343
64,"[CC,[CC,[BB,ifElse,[BC,[B,eqObject,PM(""obj_obj"")],PM(""obj_obj"")]],obj],obj]",-4.317766166719343
65,"[CC,[CC,[BB,ifElse,[BB,[eqObject,obj],PM(""obj_obj_obj"")]],obj],obj]",-4.317766166719343
66,"[CC,[CC,[BB,ifElse,[BS,[B,eqObject,PM(""obj_obj"")],PM(""obj_obj_obj"")]],obj],obj]",-4.317766166719343
67,"[CC,[CC,[BB,ifElse,[BK,[eqObject,obj],PM(""obj_obj"")]],obj],obj]",-4.317766166719343
68,"[CC,[CC,[BB,ifElse,[SC,[BB,eqObject,PM(""obj_obj_obj"")],PM(""obj_obj"")]],obj],obj]",-4.317766166719343
69,"[CC,[CC,[BB,ifElse,[SB,[B,eqObject,PM(""obj_obj"")],PM(""obj_obj_obj"")]],obj],obj]",-4.317766166719343
70,"[CC,[CC,[BB,ifElse,[SS,[BB,eqObject,PM(""obj_obj_obj"")],PM(""obj_obj_obj"")]],obj],obj]",-4.317766166719343
71,"[CC,[CC,[BB,ifElse,[SK,[B,eqObject,PM(""obj_obj"")],PM(""obj_obj"")]],obj],obj]",-4.317766166719343
72,"[CC,[CC,[BB,ifElse,[KC,[B,eqObject,PM(""obj_obj"")],obj]],obj],obj]",-4.317766166719343
73,"[CC,[CC,[BB,ifElse,[KB,[eqObject,obj],PM(""obj_obj"")]],obj],obj]",-4.317766166719343
74,"[CC,[CC,[BB,ifElse,[KS,[B,eqObject,PM(""obj_obj"")],PM(""obj_obj"")]],obj],obj]",-4.317766166719343
75,"[CC,[CC,[BB,ifElse,[KK,[eqObject,obj],obj]],obj],obj]",-4.317766166719343
76,"[CC,[CC,[BB,ifElse,[CB,[B,eqPattern,getPattern],getPattern]],obj],obj]",-6.317766166719343
77,"[CC,[CC,[BB,ifElse,[CK,[B,eqPattern,getPattern],pat]],obj],obj]",-5.317766166719343
78,"[CC,[CC,[BB,ifElse,[BC,[B,eqPattern,getPattern],getPattern]],obj],obj]",-6.317766166719343
79,"[CC,[CC,[BB,ifElse,[BK,[eqPattern,pat],getPattern]],obj],obj]",-5.317766166719343
80,"[CC,[CC,[BB,ifElse,[SK,[B,eqPattern,getPattern],getPattern]],obj],obj]",-6.317766166719343
81,"[CC,[CC,[BB,ifElse,[KC,[B,eqPattern,getPattern],pat]],obj],obj]",-5.317766166719343
82,"[CC,[CC,[BB,ifElse,[KB,[eqPattern,pat],getPattern]],obj],obj]",-5.317766166719343
83,"[CC,[CC,[BB,ifElse,[KS,[B,eqPattern,getPattern],getPattern]],obj],obj]",-6.317766166719343
84,"[CC,[CC,[BB,ifElse,[KK,[eqPattern,pat],pat]],obj],obj]",-4.317766166719343
85,"[CC,[CC,[BB,ifElse,[CB,[B,eqSaturation,getDensity],getDensity]],obj],obj]",-8.514990744055563
86,"[CC,[CC,[BB,ifElse,[CB,[B,eqSaturation,getDensity],getSaturation]],obj],obj]",-8.514990744055563
87,"[CC,[CC,[BB,ifElse,[CB,[B,eqSaturation,getDensity],getSize]],obj],obj]",-8.514990744055563
88,"[CC,[CC,[BB,ifElse,[CB,[B,eqSaturation,getSaturation],getDensity]],obj],obj]",-8.514990744055563
89,"[CC,[CC,[BB,ifElse,[CB,[B,eqSaturation,getSaturation],getSaturation]],obj],obj]",-8.514990744055563
90,"[CC,[CC,[BB,ifElse,[CB,[B,eqSaturation,getSaturation],getSize]],obj],obj]",-8.514990744055563
91,"[CC,[CC,[BB,ifElse,[CB,[B,eqSaturation,getSize],getDensity]],obj],obj]",-8.514990744055563
92,"[CC,[CC,[BB,ifElse,[CB,[B,eqSaturation,getSize],getSaturation]],obj],obj]",-8.514990744055563
93,"[CC,[CC,[BB,ifElse,[CB,[B,eqSaturation,getSize],getSize]],obj],obj]",-8.514990744055563
94,"[CC,[CC,[BB,ifElse,[CK,[B,eqSaturation,getDensity],int]],obj],obj]",-6.416378455387454
95,"[CC,[CC,[BB,ifElse,[CK,[B,eqSaturation,getSaturation],int]],obj],obj]",-6.416378455387454
96,"[CC,[CC,[BB,ifElse,[CK,[B,eqSaturation,getSize],int]],obj],obj]",-6.416378455387454
97,"[CC,[CC,[BB,ifElse,[BC,[B,eqSaturation,getDensity],getDensity]],obj],obj]",-8.514990744055563
98,"[CC,[CC,[BB,ifElse,[BC,[B,eqSaturation,getDensity],getSaturation]],obj],obj]",-8.514990744055563
99,"[CC,[CC,[BB,ifElse,[BC,[B,eqSaturation,getDensity],getSize]],obj],obj]",-8.514990744055563
100,"[CC,[CC,[BB,ifElse,[BC,[B,eqSaturation,getSaturation],getDensity]],obj],obj]",-8.514990744055563
101,"[CC,[CC,[BB,ifElse,[BC,[B,eqSaturation,getSaturation],getSaturation]],obj],obj]",-8.514990744055563
102,"[CC,[CC,[BB,ifElse,[BC,[B,eqSaturation,getSaturation],getSize]],obj],obj]",-8.514990744055563
103,"[CC,[CC,[BB,ifElse,[BC,[B,eqSaturation,getSize],getDensity]],obj],obj]",-8.514990744055563
104,"[CC,[CC,[BB,ifElse,[BC,[B,eqSaturation,getSize],getSaturation]],obj],obj]",-8.514990744055563
105,"[CC,[CC,[BB,ifElse,[BC,[B,eqSaturation,getSize],getSize]],obj],obj]",-8.514990744055563
106,"[CC,[CC,[BB,ifElse,[BK,[eqSaturation,int],getDensity]],obj],obj]",-6.416378455387454
107,"[CC,[CC,[BB,ifElse,[BK,[eqSaturation,int],getSaturation]],obj],obj]",-6.416378455387454
108,"[CC,[CC,[BB,ifElse,[BK,[eqSaturation,int],getSize]],obj],obj]",-6.416378455387454
109,"[CC,[CC,[BB,ifElse,[SK,[B,eqSaturation,getDensity],getDensity]],obj],obj]",-8.514990744055563
110,"[CC,[CC,[BB,ifElse,[SK,[B,eqSaturation,getDensity],getSaturation]],obj],obj]",-8.514990744055563
111,"[CC,[CC,[BB,ifElse,[SK,[B,eqSaturation,getDensity],getSize]],obj],obj]",-8.514990744055563
112,"[CC,[CC,[BB,ifElse,[SK,[B,eqSaturation,getSaturation],getDensity]],obj],obj]",-8.514990744055563
113,"[CC,[CC,[BB,ifElse,[SK,[B,eqSaturation,getSaturation],getSaturation]],obj],obj]",-8.514990744055563
114,"[CC,[CC,[BB,ifElse,[SK,[B,eqSaturation,getSaturation],getSize]],obj],obj]",-8.514990744055563
115,"[CC,[CC,[BB,ifElse,[SK,[B,eqSaturation,getSize],getDensity]],obj],obj]",-8.514990744055563
116,"[CC,[CC,[BB,ifElse,[SK,[B,eqSaturation,getSize],getSaturation]],obj],obj]",-8.514990744055563
117,"[CC,[CC,[BB,ifElse,[SK,[B,eqSaturation,getSize],getSize]],obj],obj]",-8.514990744055563
118,"[CC,[CC,[BB,ifElse,[KC,[B,eqSaturation,getDensity],int]],obj],obj]",-6.416378455387454
119,"[CC,[CC,[BB,ifElse,[KC,[B,eqSaturation,getSaturation],int]],obj],obj]",-6.416378455387454
120,"[CC,[CC,[BB,ifElse,[KC,[B,eqSaturation,getSize],int]],obj],obj]",-6.416378455387454
121,"[CC,[CC,[BB,ifElse,[KB,[eqSaturation,int],getDensity]],obj],obj]",-6.416378455387454
122,"[CC,[CC,[BB,ifElse,[KB,[eqSaturation,int],getSaturation]],obj],obj]",-6.416378455387454
123,"[CC,[CC,[BB,ifElse,[KB,[eqSaturation,int],getSize]],obj],obj]",-6.416378455387454
124,"[CC,[CC,[BB,ifElse,[KS,[B,eqSaturation,getDensity],getDensity]],obj],obj]",-8.514990744055563
125,"[CC,[CC,[BB,ifElse,[KS,[B,eqSaturation,getDensity],getSaturation]],obj],obj]",-8.514990744055563
126,"[CC,[CC,[BB,ifElse,[KS,[B,eqSaturation,getDensity],getSize]],obj],obj]",-8.514990744055563
127,"[CC,[CC,[BB,ifElse,[KS,[B,eqSaturation,getSaturation],getDensity]],obj],obj]",-8.514990744055563
128,"[CC,[CC,[BB,ifElse,[KS,[B,eqSaturation,getSaturation],getSaturation]],obj],obj]",-8.514990744055563
129,"[CC,[CC,[BB,ifElse,[KS,[B,eqSaturation,getSaturation],getSize]],obj],obj]",-8.514990744055563
130,"[CC,[CC,[BB,ifElse,[KS,[B,eqSaturation,getSize],getDensity]],obj],obj]",-8.514990744055563
131,"[CC,[CC,[BB,ifElse,[KS,[B,eqSaturation,getSize],getSaturation]],obj],obj]",-8.514990744055563
132,"[CC,[CC,[BB,ifElse,[KS,[B,eqSaturation,getSize],getSize]],obj],obj]",-8.514990744055563
