,pair_index,agent,recipient,result,ground_truth,model_alt,model_heur,random_choice,IG,weight
34,2,"Stone(S0,O0,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L0)",1,1,0,0.058823529411764705,0.4764131289378875,0.6417112299465241
35,2,"Stone(S0,O0,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L1)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
36,2,"Stone(S0,O0,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L2)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
37,2,"Stone(S0,O0,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L3)",0,0,1,0.058823529411764705,1.1457578449909729,0.27807486631016043
38,2,"Stone(S0,O0,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L4)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
39,2,"Stone(S0,O0,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L5)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
40,2,"Stone(S0,O0,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L6)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
41,2,"Stone(S0,O0,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L7)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
42,2,"Stone(S0,O0,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L8)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
43,2,"Stone(S0,O0,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L9)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
44,2,"Stone(S0,O0,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L10)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
45,2,"Stone(S0,O0,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L11)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
46,2,"Stone(S0,O0,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L12)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
47,2,"Stone(S0,O0,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L13)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
48,2,"Stone(S0,O0,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L14)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
49,2,"Stone(S0,O0,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L15)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
50,2,"Stone(S0,O0,L1)","Stone(S0,O0,L3)","Stone(S0,O0,L16)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
51,3,"Stone(S0,O0,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L0)",1,1,0,0.058823529411764705,0.4764131289378875,0.6417112299465241
52,3,"Stone(S0,O0,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L1)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
53,3,"Stone(S0,O0,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L2)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
54,3,"Stone(S0,O0,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L3)",0,0,1,0.058823529411764705,1.1457578449909729,0.27807486631016043
55,3,"Stone(S0,O0,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L4)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
56,3,"Stone(S0,O0,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L5)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
57,3,"Stone(S0,O0,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L6)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
58,3,"Stone(S0,O0,L1)","Stone(S0,O0,L4)","Stone(S0,O0,L7)",0,0,0,0.058823529411764705,2.3978952727983707,0.0053475935828877
