,terms,log_prob
37,"[CS,[SB,[B,ifElse,[B,isRed,I]],[CS,[BS,[B,ifElse,[B,isDotted,I]],[KC,[B,setColor,I],Red]],I]],I]",-30.061514122593152
38,"[CS,[SB,[B,ifElse,[B,isRed,I]],[CS,[BS,[B,ifElse,[B,isDotted,I]],[KC,[B,setColor,[C,[B,setSize,I],S1]],Red]],I]],I]",-35.606691567072716
39,"[CS,[SB,[B,ifElse,[B,isRed,I]],[CS,[BS,[B,ifElse,[B,isDotted,I]],[BC,[B,setColor,I],[B,getColor,I]]],I]],I]",-28.962901833925045
40,"[CS,[SB,[B,ifElse,[B,isRed,I]],[CS,[BS,[B,ifElse,[B,isDotted,I]],[SC,[BB,setColor,[BC,[B,setSize,I],[B,getSize,I]]],[B,getColor,I]]],I]],I]",-37.68613310875255
41,"[CS,[SB,[B,ifElse,[B,isRed,I]],[CS,[BS,[B,ifElse,[B,isDotted,I]],[SC,[BB,setColor,[BC,[B,setSize,I],[B,getSaturation,I]]],[B,getColor,I]]],I]],I]",-37.68613310875255
42,"[CS,[SS,[BB,ifElse,[CB,[B,eqShape,[B,getShape,I]],[B,getShape,I]]],[KK,I,Stone(Red,S1,Circle,S1,Dotted,S1)]],I]",-25.055333178846276
43,"[CS,[SS,[BB,ifElse,[CB,[B,eqShape,[B,getShape,I]],[B,getShape,I]]],[KC,[B,setColor,I],Red]],I]",-23.55125578207
44,"[CS,[SS,[BB,ifElse,[CB,[B,eqShape,[B,getShape,I]],[B,getShape,I]]],[KC,[B,setColor,[C,[B,setSize,I],S1]],Red]],I]",-29.096433226549564
45,"[CS,[SS,[BB,ifElse,[CB,[B,eqShape,[B,getShape,I]],[B,getShape,I]]],[BC,[B,setColor,I],[B,getColor,I]]],I]",-22.45264349340189
46,"[CS,[SS,[BB,ifElse,[CB,[B,eqShape,[B,getShape,I]],[B,getShape,I]]],[SC,[BB,setColor,[BC,[B,setSize,I],[B,getSize,I]]],[B,getColor,I]]],I]",-31.1758747682294
47,"[CS,[SS,[BB,ifElse,[CB,[B,eqShape,[B,getShape,I]],[B,getShape,I]]],[SC,[BB,setColor,[BC,[B,setSize,I],[B,getSaturation,I]]],[B,getColor,I]]],I]",-31.1758747682294
48,"[CS,[SS,[BB,ifElse,[CB,[B,eqInt,[B,getSize,I]],[B,getSaturation,I]]],[KK,I,Stone(Red,S1,Circle,S1,Dotted,S1)]],I]",-27.252557756182494
49,"[CS,[SS,[BB,ifElse,[CB,[B,eqInt,[B,getSize,I]],[B,getSaturation,I]]],[KC,[B,setColor,I],Red]],I]",-25.74848035940622
50,"[CS,[SS,[BB,ifElse,[CB,[B,eqInt,[B,getSize,I]],[B,getSaturation,I]]],[KC,[B,setColor,[C,[B,setSize,I],S1]],Red]],I]",-31.29365780388578
51,"[CS,[SS,[BB,ifElse,[CB,[B,eqInt,[B,getSize,I]],[B,getSaturation,I]]],[BC,[B,setColor,I],[B,getColor,I]]],I]",-24.64986807073811
52,"[CS,[SS,[BB,ifElse,[CB,[B,eqInt,[B,getSize,I]],[B,getSaturation,I]]],[SC,[BB,setColor,[BC,[B,setSize,I],[B,getSize,I]]],[B,getColor,I]]],I]",-33.37309934556561
53,"[CS,[SS,[BB,ifElse,[CB,[B,eqInt,[B,getSize,I]],[B,getSaturation,I]]],[SC,[BB,setColor,[BC,[B,setSize,I],[B,getSaturation,I]]],[B,getColor,I]]],I]",-33.37309934556561
