exp_id,ix,condition,phase,trial,stripe,dot,segment,prediction,is_groundTruth
1,90,combine,B,7,4,0,3,12,1
1,90,combine,B,8,4,4,4,8,0
1,91,combine,A,1,0,0,3,3,0
1,91,combine,A,2,0,2,1,1,0
1,91,combine,A,3,2,1,3,5,1
1,91,combine,A,4,2,3,3,5,0
1,91,combine,A,5,3,2,3,5,0
1,91,combine,A,6,3,4,2,4,0
1,91,combine,A,7,4,0,3,5,0
1,91,combine,A,8,4,4,4,6,0
1,91,combine,B,1,0,0,3,3,0
1,91,combine,B,2,0,2,1,1,0
1,91,combine,B,3,2,1,3,2,0
1,91,combine,B,4,2,3,3,1,0
1,91,combine,B,5,3,2,3,1,0
1,91,combine,B,6,3,4,2,1,0
1,91,combine,B,7,4,0,3,5,0
1,91,combine,B,8,4,4,4,0,0
1,92,combine,A,1,0,0,3,1,0
1,92,combine,A,2,0,2,1,1,0
1,92,combine,A,3,2,1,3,4,0
1,92,combine,A,4,2,3,3,0,0
1,92,combine,A,5,3,2,3,12,0
1,92,combine,A,6,3,4,2,0,0
1,92,combine,A,7,4,0,3,12,1
1,92,combine,A,8,4,4,4,8,0
1,92,combine,B,1,0,0,3,3,0
1,92,combine,B,2,0,2,1,0,1
1,92,combine,B,3,2,1,3,5,1
1,92,combine,B,4,2,3,3,3,1
1,92,combine,B,5,3,2,3,7,1
1,92,combine,B,6,3,4,2,2,1
1,92,combine,B,7,4,0,3,12,1
1,92,combine,B,8,4,4,4,12,1
1,100,combine,A,1,0,0,3,0,1
1,100,combine,A,2,0,2,1,0,1
1,100,combine,A,3,2,1,3,6,0
1,100,combine,A,4,2,3,3,6,0
1,100,combine,A,5,3,2,3,9,0
1,100,combine,A,6,3,4,2,6,0
1,100,combine,A,7,4,0,3,12,1
1,100,combine,A,8,4,4,4,6,0
1,100,combine,B,1,0,0,3,0,1
1,100,combine,B,2,0,2,1,0,1
1,100,combine,B,3,2,1,3,5,1
1,100,combine,B,4,2,3,3,3,1
1,100,combine,B,5,3,2,3,7,1
1,100,combine,B,6,3,4,2,2,1
1,100,combine,B,7,4,0,3,12,1
1,100,combine,B,8,4,4,4,12,1
1,103,combine,A,1,0,0,3,3,0
1,103,combine,A,2,0,2,1,1,0
1,103,combine,A,3,2,1,3,6,0
1,103,combine,A,4,2,3,3,6,0
1,103,combine,A,5,3,2,3,9,0
1,103,combine,A,6,3,4,2,6,0
1,103,combine,A,7,4,0,3,12,1
1,103,combine,A,8,4,4,4,16,0
1,103,combine,B,1,0,0,3,3,0
1,103,combine,B,2,0,2,1,0,1
1,103,combine,B,3,2,1,3,5,1
1,103,combine,B,4,2,3,3,3,1
1,103,combine,B,5,3,2,3,7,1
1,103,combine,B,6,3,4,2,2,1
1,103,combine,B,7,4,0,3,12,1
1,103,combine,B,8,4,4,4,12,1
1,105,combine,A,1,0,0,3,0,1
1,105,combine,A,2,0,2,1,0,1
1,105,combine,A,3,2,1,3,6,0
1,105,combine,A,4,2,3,3,6,0
1,105,combine,A,5,3,2,3,9,0
1,105,combine,A,6,3,4,2,6,0
1,105,combine,A,7,4,0,3,12,1
1,105,combine,A,8,4,4,4,16,0
1,105,combine,B,1,0,0,3,0,1
1,105,combine,B,2,0,2,1,0,1
1,105,combine,B,3,2,1,3,5,1
1,105,combine,B,4,2,3,3,3,1
1,105,combine,B,5,3,2,3,7,1
1,105,combine,B,6,3,4,2,2,1
1,105,combine,B,7,4,0,3,12,1
1,105,combine,B,8,4,4,4,12,1
1,108,combine,A,1,0,0,3,3,0
1,108,combine,A,2,0,2,1,1,0
1,108,combine,A,3,2,1,3,5,1
1,108,combine,A,4,2,3,3,5,0
1,108,combine,A,5,3,2,3,5,0
1,108,combine,A,6,3,4,2,4,0
1,108,combine,A,7,4,0,3,5,0
1,108,combine,A,8,4,4,4,6,0
1,108,combine,B,1,0,0,3,3,0
1,108,combine,B,2,0,2,1,0,1
1,108,combine,B,3,2,1,3,4,0
1,108,combine,B,4,2,3,3,2,0
1,108,combine,B,5,3,2,3,3,0
1,108,combine,B,6,3,4,2,0,0
1,108,combine,B,7,4,0,3,5,0
1,108,combine,B,8,4,4,4,2,0
1,110,combine,A,1,0,0,3,1,0
1,110,combine,A,2,0,2,1,1,0
1,110,combine,A,3,2,1,3,4,0
1,110,combine,A,4,2,3,3,2,0
1,110,combine,A,5,3,2,3,2,0
1,110,combine,A,6,3,4,2,1,0
1,110,combine,A,7,4,0,3,6,0
1,110,combine,A,8,4,4,4,3,0
1,110,combine,B,1,0,0,3,0,1
1,110,combine,B,2,0,2,1,2,0
1,110,combine,B,3,2,1,3,4,0
1,110,combine,B,4,2,3,3,2,0
1,110,combine,B,5,3,2,3,2,0
1,110,combine,B,6,3,4,2,0,0
1,110,combine,B,7,4,0,3,6,0
1,110,combine,B,8,4,4,4,3,0
1,111,combine,A,1,0,0,3,3,0
1,111,combine,A,2,0,2,1,1,0
1,111,combine,A,3,2,1,3,5,1
1,111,combine,A,4,2,3,3,4,0
1,111,combine,A,5,3,2,3,3,0
1,111,combine,A,6,3,4,2,3,0
1,111,combine,A,7,4,0,3,2,0
1,111,combine,A,8,4,4,4,4,0
1,111,combine,B,1,0,0,3,1,0
1,111,combine,B,2,0,2,1,0,1
1,111,combine,B,3,2,1,3,3,0
1,111,combine,B,4,2,3,3,2,0
1,111,combine,B,5,3,2,3,1,0
1,111,combine,B,6,3,4,2,1,0
1,111,combine,B,7,4,0,3,6,0
1,111,combine,B,8,4,4,4,1,0
1,114,combine,A,1,0,0,3,0,1
1,114,combine,A,2,0,2,1,2,0
1,114,combine,A,3,2,1,3,6,0
1,114,combine,A,4,2,3,3,6,0
1,114,combine,A,5,3,2,3,9,0
1,114,combine,A,6,3,4,2,6,0
1,114,combine,A,7,4,0,3,12,1
1,114,combine,A,8,4,4,4,16,0
1,114,combine,B,1,0,0,3,0,1
1,114,combine,B,2,0,2,1,0,1
1,114,combine,B,3,2,1,3,5,1
1,114,combine,B,4,2,3,3,3,1
1,114,combine,B,5,3,2,3,7,1
1,114,combine,B,6,3,4,2,2,1
1,114,combine,B,7,4,0,3,12,1
1,114,combine,B,8,4,4,4,12,1
1,122,combine,A,1,0,0,3,2,0
1,122,combine,A,2,0,2,1,2,0
1,122,combine,A,3,2,1,3,6,0
1,122,combine,A,4,2,3,3,6,0
1,122,combine,A,5,3,2,3,4,0
1,122,combine,A,6,3,4,2,4,0
1,122,combine,A,7,4,0,3,4,0
1,122,combine,A,8,4,4,4,6,0
1,122,combine,B,1,0,0,3,3,0
1,122,combine,B,2,0,2,1,2,0
1,122,combine,B,3,2,1,3,3,0
1,122,combine,B,4,2,3,3,3,1
1,122,combine,B,5,3,2,3,2,0
1,122,combine,B,6,3,4,2,0,0
1,122,combine,B,7,4,0,3,2,0
1,122,combine,B,8,4,4,4,0,0
1,124,combine,A,1,0,0,3,0,1
1,124,combine,A,2,0,2,1,0,1
1,124,combine,A,3,2,1,3,6,0
1,124,combine,A,4,2,3,3,6,0
1,124,combine,A,5,3,2,3,9,0
1,124,combine,A,6,3,4,2,6,0
1,124,combine,A,7,4,0,3,12,1
1,124,combine,A,8,4,4,4,16,0
1,124,combine,B,1,0,0,3,0,1
1,124,combine,B,2,0,2,1,0,1
1,124,combine,B,3,2,1,3,5,1
1,124,combine,B,4,2,3,3,3,1
1,124,combine,B,5,3,2,3,7,1
1,124,combine,B,6,3,4,2,2,1
1,124,combine,B,7,4,0,3,12,1
1,124,combine,B,8,4,4,4,12,1
1,129,combine,A,1,0,0,3,0,1
1,129,combine,A,2,0,2,1,2,0
1,129,combine,A,3,2,1,3,7,0
1,129,combine,A,4,2,3,3,9,0
1,129,combine,A,5,3,2,3,11,0
1,129,combine,A,6,3,4,2,10,0
1,129,combine,A,7,4,0,3,12,1
1,129,combine,A,8,4,4,4,16,0
1,129,combine,B,1,0,0,3,0,1
1,129,combine,B,2,0,2,1,2,0
1,129,combine,B,3,2,1,3,5,1
1,129,combine,B,4,2,3,3,3,1
1,129,combine,B,5,3,2,3,7,1
1,129,combine,B,6,3,4,2,2,1
1,129,combine,B,7,4,0,3,12,1
1,129,combine,B,8,4,4,4,12,1
1,133,combine,A,1,0,0,3,3,0
1,133,combine,A,2,0,2,1,1,0
1,133,combine,A,3,2,1,3,5,1
1,133,combine,A,4,2,3,3,7,0
1,133,combine,A,5,3,2,3,6,0
1,133,combine,A,6,3,4,2,4,0
1,133,combine,A,7,4,0,3,5,0
1,133,combine,A,8,4,4,4,7,0
1,133,combine,B,1,0,0,3,3,0
1,133,combine,B,2,0,2,1,0,1
1,133,combine,B,3,2,1,3,2,0
1,133,combine,B,4,2,3,3,0,0
1,133,combine,B,5,3,2,3,1,0
1,133,combine,B,6,3,4,2,0,0
1,133,combine,B,7,4,0,3,5,0
1,133,combine,B,8,4,4,4,0,0
1,136,combine,A,1,0,0,3,3,0
1,136,combine,A,2,0,2,1,1,0
1,136,combine,A,3,2,1,3,5,1
1,136,combine,A,4,2,3,3,5,0
1,136,combine,A,5,3,2,3,5,0
1,136,combine,A,6,3,4,2,4,0
1,136,combine,A,7,4,0,3,5,0
1,136,combine,A,8,4,4,4,6,0
1,136,combine,B,1,0,0,3,3,0
1,136,combine,B,2,0,2,1,1,0
1,136,combine,B,3,2,1,3,4,0
1,136,combine,B,4,2,3,3,2,0
1,136,combine,B,5,3,2,3,3,0
1,136,combine,B,6,3,4,2,0,0
1,136,combine,B,7,4,0,3,5,0
1,136,combine,B,8,4,4,4,2,0
1,139,combine,A,1,0,0,3,3,0
1,139,combine,A,2,0,2,1,2,0
1,139,combine,A,3,2,1,3,5,1
1,139,combine,A,4,2,3,3,6,0
1,139,combine,A,5,3,2,3,6,0
1,139,combine,A,6,3,4,2,5,0
1,139,combine,A,7,4,0,3,6,0
1,139,combine,A,8,4,4,4,8,0
1,139,combine,B,1,0,0,3,3,0
1,139,combine,B,2,0,2,1,1,0
1,139,combine,B,3,2,1,3,2,0
1,139,combine,B,4,2,3,3,0,0
1,139,combine,B,5,3,2,3,1,0
1,139,combine,B,6,3,4,2,0,0
1,139,combine,B,7,4,0,3,5,0
1,139,combine,B,8,4,4,4,0,0
1,145,combine,A,1,0,0,3,3,0
1,145,combine,A,2,0,2,1,1,0
1,145,combine,A,3,2,1,3,6,0
1,145,combine,A,4,2,3,3,6,0
1,145,combine,A,5,3,2,3,9,0
1,145,combine,A,6,3,4,2,6,0
1,145,combine,A,7,4,0,3,12,1
1,145,combine,A,8,4,4,4,16,0
1,145,combine,B,1,0,0,3,3,0
1,145,combine,B,2,0,2,1,0,1
1,145,combine,B,3,2,1,3,2,0
1,145,combine,B,4,2,3,3,6,0
1,145,combine,B,5,3,2,3,9,0
1,145,combine,B,6,3,4,2,6,0
1,145,combine,B,7,4,0,3,12,1
1,145,combine,B,8,4,4,4,16,0
1,148,combine,A,1,0,0,3,3,0
1,148,combine,A,2,0,2,1,1,0
1,148,combine,A,3,2,1,3,6,0
1,148,combine,A,4,2,3,3,1,0
1,148,combine,A,5,3,2,3,9,0
1,148,combine,A,6,3,4,2,6,0
1,148,combine,A,7,4,0,3,16,0
1,148,combine,A,8,4,4,4,16,0
1,148,combine,B,1,0,0,3,3,0
1,148,combine,B,2,0,2,1,1,0
1,148,combine,B,3,2,1,3,5,1
1,148,combine,B,4,2,3,3,3,1
1,148,combine,B,5,3,2,3,7,1
1,148,combine,B,6,3,4,2,2,1
1,148,combine,B,7,4,0,3,12,1
1,148,combine,B,8,4,4,4,12,1
1,149,combine,A,1,0,0,3,0,1
1,149,combine,A,2,0,2,1,0,1
1,149,combine,A,3,2,1,3,6,0
1,149,combine,A,4,2,3,3,6,0
1,149,combine,A,5,3,2,3,9,0
1,149,combine,A,6,3,4,2,8,0
1,149,combine,A,7,4,0,3,12,1
1,149,combine,A,8,4,4,4,4,0
1,149,combine,B,1,0,0,3,0,1
1,149,combine,B,2,0,2,1,0,1
1,149,combine,B,3,2,1,3,5,1
1,149,combine,B,4,2,3,3,3,1
1,149,combine,B,5,3,2,3,7,1
1,149,combine,B,6,3,4,2,2,1
1,149,combine,B,7,4,0,3,12,1
1,149,combine,B,8,4,4,4,12,1
1,150,combine,A,1,0,0,3,3,0
1,150,combine,A,2,0,2,1,3,0
1,150,combine,A,3,2,1,3,5,1
