,terms
196,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Triangle,S1,Dotted,S1)]"
197,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Triangle,S1,Dotted,S3)]"
198,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Triangle,S1,Plain,S1)]"
199,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Triangle,S1,Plain,S3)]"
200,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Triangle,S3,Dotted,S1)]"
201,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Triangle,S3,Dotted,S3)]"
202,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Triangle,S3,Plain,S1)]"
203,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Triangle,S3,Plain,S3)]"
204,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Square,S1,Dotted,S1)]"
205,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Square,S1,Dotted,S3)]"
206,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Square,S1,Plain,S1)]"
207,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Square,S1,Plain,S3)]"
208,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Square,S3,Dotted,S1)]"
209,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Square,S3,Dotted,S3)]"
210,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Square,S3,Plain,S1)]"
211,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Square,S3,Plain,S3)]"
212,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Triangle,S1,Dotted,S1)]"
213,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Triangle,S1,Dotted,S3)]"
214,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Triangle,S1,Plain,S1)]"
215,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Triangle,S1,Plain,S3)]"
216,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Triangle,S3,Dotted,S1)]"
217,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Triangle,S3,Dotted,S3)]"
218,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Triangle,S3,Plain,S1)]"
219,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Triangle,S3,Plain,S3)]"
220,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Square,S1,Dotted,S1)]"
221,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Square,S1,Dotted,S3)]"
222,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Square,S1,Plain,S1)]"
223,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Square,S1,Plain,S3)]"
224,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Square,S3,Dotted,S1)]"
225,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Square,S3,Dotted,S3)]"
226,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Square,S3,Plain,S1)]"
227,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Square,S3,Plain,S3)]"
228,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Triangle,S1,Dotted,S1)]"
229,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Triangle,S1,Dotted,S3)]"
230,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Triangle,S1,Plain,S1)]"
231,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Triangle,S1,Plain,S3)]"
232,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Triangle,S3,Dotted,S1)]"
233,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Triangle,S3,Dotted,S3)]"
234,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Triangle,S3,Plain,S1)]"
235,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Triangle,S3,Plain,S3)]"
236,"[CC,[KK,[ifElse,False],Stone(Red,S1,Square,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
237,"[CC,[KK,[ifElse,False],Stone(Red,S1,Square,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
238,"[CC,[KK,[ifElse,False],Stone(Red,S1,Square,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
239,"[CC,[KK,[ifElse,False],Stone(Red,S1,Square,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
240,"[CC,[KK,[ifElse,False],Stone(Red,S1,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
241,"[CC,[KK,[ifElse,False],Stone(Red,S1,Square,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
242,"[CC,[KK,[ifElse,False],Stone(Red,S1,Square,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
243,"[CC,[KK,[ifElse,False],Stone(Red,S1,Square,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
244,"[CC,[KK,[ifElse,False],Stone(Red,S1,Triangle,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
245,"[CC,[KK,[ifElse,False],Stone(Red,S1,Triangle,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
246,"[CC,[KK,[ifElse,False],Stone(Red,S1,Triangle,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
247,"[CC,[KK,[ifElse,False],Stone(Red,S1,Triangle,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
248,"[CC,[KK,[ifElse,False],Stone(Red,S1,Triangle,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
249,"[CC,[KK,[ifElse,False],Stone(Red,S1,Triangle,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
250,"[CC,[KK,[ifElse,False],Stone(Red,S1,Triangle,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
251,"[CC,[KK,[ifElse,False],Stone(Red,S1,Triangle,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
252,"[CC,[KK,[ifElse,False],Stone(Red,S3,Square,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
253,"[CC,[KK,[ifElse,False],Stone(Red,S3,Square,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
254,"[CC,[KK,[ifElse,False],Stone(Red,S3,Square,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
255,"[CC,[KK,[ifElse,False],Stone(Red,S3,Square,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
256,"[CC,[KK,[ifElse,False],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
257,"[CC,[KK,[ifElse,False],Stone(Red,S3,Square,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
258,"[CC,[KK,[ifElse,False],Stone(Red,S3,Square,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
259,"[CC,[KK,[ifElse,False],Stone(Red,S3,Square,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
260,"[CC,[KK,[ifElse,False],Stone(Red,S3,Triangle,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
261,"[CC,[KK,[ifElse,False],Stone(Red,S3,Triangle,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
262,"[CC,[KK,[ifElse,False],Stone(Red,S3,Triangle,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
263,"[CC,[KK,[ifElse,False],Stone(Red,S3,Triangle,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
264,"[CC,[KK,[ifElse,False],Stone(Red,S3,Triangle,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
265,"[CC,[KK,[ifElse,False],Stone(Red,S3,Triangle,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
266,"[CC,[KK,[ifElse,False],Stone(Red,S3,Triangle,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
267,"[CC,[KK,[ifElse,False],Stone(Red,S3,Triangle,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
268,"[CC,[KK,[ifElse,False],Stone(Yellow,S1,Square,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
269,"[CC,[KK,[ifElse,False],Stone(Yellow,S1,Square,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
270,"[CC,[KK,[ifElse,False],Stone(Yellow,S1,Square,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
271,"[CC,[KK,[ifElse,False],Stone(Yellow,S1,Square,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
272,"[CC,[KK,[ifElse,False],Stone(Yellow,S1,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
273,"[CC,[KK,[ifElse,False],Stone(Yellow,S1,Square,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
274,"[CC,[KK,[ifElse,False],Stone(Yellow,S1,Square,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
275,"[CC,[KK,[ifElse,False],Stone(Yellow,S1,Square,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
276,"[CC,[KK,[ifElse,False],Stone(Yellow,S1,Triangle,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
277,"[CC,[KK,[ifElse,False],Stone(Yellow,S1,Triangle,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
278,"[CC,[KK,[ifElse,False],Stone(Yellow,S1,Triangle,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
279,"[CC,[KK,[ifElse,False],Stone(Yellow,S1,Triangle,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
280,"[CC,[KK,[ifElse,False],Stone(Yellow,S1,Triangle,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
281,"[CC,[KK,[ifElse,False],Stone(Yellow,S1,Triangle,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
282,"[CC,[KK,[ifElse,False],Stone(Yellow,S1,Triangle,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
283,"[CC,[KK,[ifElse,False],Stone(Yellow,S1,Triangle,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
284,"[CC,[KK,[ifElse,False],Stone(Yellow,S3,Square,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
285,"[CC,[KK,[ifElse,False],Stone(Yellow,S3,Square,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
286,"[CC,[KK,[ifElse,False],Stone(Yellow,S3,Square,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
287,"[CC,[KK,[ifElse,False],Stone(Yellow,S3,Square,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
288,"[CC,[KK,[ifElse,False],Stone(Yellow,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
289,"[CC,[KK,[ifElse,False],Stone(Yellow,S3,Square,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
290,"[CC,[KK,[ifElse,False],Stone(Yellow,S3,Square,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
291,"[CC,[KK,[ifElse,False],Stone(Yellow,S3,Square,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
292,"[CC,[KK,[ifElse,False],Stone(Yellow,S3,Triangle,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
293,"[CC,[KK,[ifElse,False],Stone(Yellow,S3,Triangle,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
294,"[CC,[KK,[ifElse,False],Stone(Yellow,S3,Triangle,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
295,"[CC,[KK,[ifElse,False],Stone(Yellow,S3,Triangle,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
296,"[CC,[KK,[ifElse,False],Stone(Yellow,S3,Triangle,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
297,"[CC,[KK,[ifElse,False],Stone(Yellow,S3,Triangle,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
298,"[CC,[KK,[ifElse,False],Stone(Yellow,S3,Triangle,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
299,"[CC,[KK,[ifElse,False],Stone(Yellow,S3,Triangle,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
300,"[CB,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],I]"
301,"[CS,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],I]"
302,"[CK,[B,[ifElse,False],I],Stone(Red,S3,Square,S3,Dotted,S1)]"
303,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Square,S1,Dotted,S1)]"
304,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Square,S1,Dotted,S3)]"
305,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Square,S1,Plain,S1)]"
306,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Square,S1,Plain,S3)]"
307,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Square,S3,Dotted,S1)]"
308,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Square,S3,Dotted,S3)]"
309,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Square,S3,Plain,S1)]"
310,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Square,S3,Plain,S3)]"
311,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Triangle,S1,Dotted,S1)]"
312,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Triangle,S1,Dotted,S3)]"
313,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Triangle,S1,Plain,S1)]"
314,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Triangle,S1,Plain,S3)]"
315,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Triangle,S3,Dotted,S1)]"
316,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Triangle,S3,Dotted,S3)]"
317,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Triangle,S3,Plain,S1)]"
318,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Triangle,S3,Plain,S3)]"
319,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S1,Dotted,S1)]"
320,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S1,Dotted,S3)]"
321,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S1,Plain,S1)]"
322,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S1,Plain,S3)]"
323,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
324,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S3)]"
325,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Plain,S1)]"
326,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Plain,S3)]"
327,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Triangle,S1,Dotted,S1)]"
328,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Triangle,S1,Dotted,S3)]"
329,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Triangle,S1,Plain,S1)]"
330,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Triangle,S1,Plain,S3)]"
331,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Triangle,S3,Dotted,S1)]"
332,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Triangle,S3,Dotted,S3)]"
333,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Triangle,S3,Plain,S1)]"
334,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Triangle,S3,Plain,S3)]"
335,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Square,S1,Dotted,S1)]"
336,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Square,S1,Dotted,S3)]"
337,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Square,S1,Plain,S1)]"
338,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Square,S1,Plain,S3)]"
339,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Square,S3,Dotted,S1)]"
340,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Square,S3,Dotted,S3)]"
341,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Square,S3,Plain,S1)]"
342,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Square,S3,Plain,S3)]"
343,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Triangle,S1,Dotted,S1)]"
344,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Triangle,S1,Dotted,S3)]"
345,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Triangle,S1,Plain,S1)]"
346,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Triangle,S1,Plain,S3)]"
347,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Triangle,S3,Dotted,S1)]"
348,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Triangle,S3,Dotted,S3)]"
349,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Triangle,S3,Plain,S1)]"
350,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Triangle,S3,Plain,S3)]"
351,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Square,S1,Dotted,S1)]"
352,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Square,S1,Dotted,S3)]"
353,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Square,S1,Plain,S1)]"
354,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Square,S1,Plain,S3)]"
355,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Square,S3,Dotted,S1)]"
356,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Square,S3,Dotted,S3)]"
357,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Square,S3,Plain,S1)]"
358,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Square,S3,Plain,S3)]"
359,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Triangle,S1,Dotted,S1)]"
360,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Triangle,S1,Dotted,S3)]"
361,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Triangle,S1,Plain,S1)]"
362,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Triangle,S1,Plain,S3)]"
363,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Triangle,S3,Dotted,S1)]"
364,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Triangle,S3,Dotted,S3)]"
365,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Triangle,S3,Plain,S1)]"
366,"[CK,[K,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Triangle,S3,Plain,S3)]"
367,"[CK,[K,[ifElse,False],Stone(Red,S1,Square,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
368,"[CK,[K,[ifElse,False],Stone(Red,S1,Square,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
369,"[CK,[K,[ifElse,False],Stone(Red,S1,Square,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
370,"[CK,[K,[ifElse,False],Stone(Red,S1,Square,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
371,"[CK,[K,[ifElse,False],Stone(Red,S1,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
372,"[CK,[K,[ifElse,False],Stone(Red,S1,Square,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
373,"[CK,[K,[ifElse,False],Stone(Red,S1,Square,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
374,"[CK,[K,[ifElse,False],Stone(Red,S1,Square,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
375,"[CK,[K,[ifElse,False],Stone(Red,S1,Triangle,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
376,"[CK,[K,[ifElse,False],Stone(Red,S1,Triangle,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
377,"[CK,[K,[ifElse,False],Stone(Red,S1,Triangle,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
378,"[CK,[K,[ifElse,False],Stone(Red,S1,Triangle,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
379,"[CK,[K,[ifElse,False],Stone(Red,S1,Triangle,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
380,"[CK,[K,[ifElse,False],Stone(Red,S1,Triangle,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
381,"[CK,[K,[ifElse,False],Stone(Red,S1,Triangle,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
382,"[CK,[K,[ifElse,False],Stone(Red,S1,Triangle,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
383,"[CK,[K,[ifElse,False],Stone(Red,S3,Square,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
384,"[CK,[K,[ifElse,False],Stone(Red,S3,Square,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
385,"[CK,[K,[ifElse,False],Stone(Red,S3,Square,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
386,"[CK,[K,[ifElse,False],Stone(Red,S3,Square,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
387,"[CK,[K,[ifElse,False],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
388,"[CK,[K,[ifElse,False],Stone(Red,S3,Square,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
389,"[CK,[K,[ifElse,False],Stone(Red,S3,Square,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
390,"[CK,[K,[ifElse,False],Stone(Red,S3,Square,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
