,terms
58,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
59,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S3,Square,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
60,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S3,Square,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
61,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S3,Square,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
62,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S3,Triangle,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
63,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S3,Triangle,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
64,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S3,Triangle,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
65,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S3,Triangle,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
66,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S3,Triangle,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
67,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S3,Triangle,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
68,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S3,Triangle,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
69,"[CC,[CC,[B,ifElse,eqObject],Stone(Red,S3,Triangle,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
70,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S1,Square,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
71,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S1,Square,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
72,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S1,Square,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
73,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S1,Square,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
74,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S1,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
75,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S1,Square,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
76,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S1,Square,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
77,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S1,Square,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
